id,codigo,nome_empresa,cidade,bairro,estado,texto,telefones,atividades
201710,4842,Polibuchas Ind e beneficiamento tÃªxtil Ltda.,Natal,Quintas,RN,"<p>Trabalhamos com: cole&ccedil;&atilde;o de trapos para limpezas industriais estopas ou Buchas para limpeza e polimento; panos em geral p/limpeza. Trapo e um Retalho de malha costurados para limpeza pesada do tamanho + ou - de uma m&atilde;o</p>

<p>Polibuchas Poli Buchas f&aacute;brica fabrica&ccedil;&atilde;o venda de Flanelas malha pra limpeza e capa de fardo BUCHA PARA POLIMENTO E LIMPEZA TRAPO COSTURADO ESTOPA PARA POLIMENTO E LIMPEZA BUCHA PARA ENCHIMENTO DE ESTOFADO SACO DE ESTOPA FORNECEDOR DE ESTOPA FORNECEDOR DE TRAPO RETALHO FORNECEDOR DE RETALHO ESTOPA AUTOMOTIVA ESTOPA PARA LIMPEZA INDUSTRIAL FLANELA &nbsp;Rua dos P&ecirc;gas Quintas Natal RN</p>
","(84)36534703,(84)0846534703,(84)0846534703",Entrega em domicÃ­lio
202142,5220,E.T. CAMIL-ME-SERVICOS E LAVANDERIA E TINTURARIA,Parnamirim,Nova Parnamirim,RN,"<p>Lavanderia e tinturaria, lavagem industrial (hotelaria e empresas em geral). Lavagens dom&eacute;sticas (a &aacute;gua e a seco). Lava tamb&eacute;m persianas (lavagens e manuten&ccedil;&atilde;o), tapetes, cortinas, bichos de pel&uacute;cia, bancada de carro, lavagem de sof&aacute;, administra&ccedil;&atilde;o e ter</p>
","(84)32087010,(84),(84)",Delivery
202465,5541,MARCONES PECAS E SERV. LTDA,Natal,Quintas,RN,"<p>Trabalha com servi&ccedil;os e pecas em geral para motos. N&atilde;o trabalha mais com aluguel de motos, aluga s&oacute; para algumas empresas j&aacute; fixas.</p>
","(84)36535167,(84)30844268,(84)084",Oficina
203086,6152,Joao Moreira de Ribeiro,Natal,Lagoa Nova,RN,"<p>Conserto de cintos de seguran&ccedil;a de ve&iacute;culos, carimbos e chaves.</p>
","(84)3231-1135,(84)9964-1157,(84)9167-5010",Oficina
203327,6408,IndÃºstria e ComÃ©rcio de Mat. de ConstruÃ§Ã£o Eireli,Natal,CandelÃ¡ria,RN,"<p>Disp&otilde;e de material de constru&ccedil;&atilde;o em geral, portas, janelas, barro, areia, tijolo, lajes, pr&eacute;-moldados em geral, tintas, pias, parte el&eacute;trica e hidr&aacute;ulica. Fazem entrega em domic&iacute;lio, cimento, escadas, tubos, telhas e tijolos do A&ccedil;&uacute;. Disp&otilde;e de resist&ecirc;nc</p>
","(84)32078602,(84)32075332","Material de construÃ§Ã£o, Entrega em domicÃ­lio"
203552,6648,Narciso de Figueiredo Filho,Natal,Ponta Negra,RN,"<p>Trabalha c/ entrega de g&aacute;s (novogas). Obs: A entrega de g&aacute;s e &aacute;gua mineral apartir de 20l. Somente nas imedia&ccedil;&otilde;es de ponta negra, capim macio, vila de ponta negra e conj. Alagamar.</p>
","(84)36411015,(84)0846411015,(84)40019000","Entrega em domicÃ­lio, Delivery"
204695,7773,Daniela de O. G. Bezerra - Restaurante,Touros,Centro,RN,"<p>Empresa no segmento de restaurante a mais de 40 anos de experi&ecirc;ncia levando os melhores pratos de touros</p>
","(84)2632325,(84)084,(84)084","Bar e restaurante, Suco, Bebida, Petiscos, Delivery, Bebidas, Sucos, Bar, Restaurants, Asinha"
205348,8368,Rene Silva Sena,Natal,Cidade da EsperanÃ§a,RN,"<p>Floricultura, decora&ccedil;&atilde;o, cestas, telemensagens, presentes, cestas de caf&eacute; da manh&atilde;, lanche, vinho, chocolate, mensagem fonadaManuten&ccedil;&atilde;o</p>

<p>Capricho Flores e Decora&ccedil;&otilde;es CESTA DE CAF&Eacute; DA MANH&Atilde; TELEMENSAGEM FLORICULTURA EM DOMIC&Iacute;LIO CESTA DE LANCHE CESTA TRADICIONAL CESTA DE CHOCOLATE MENSAGENS FONADAS FLORICULTURA CESTA NATALINA CESTA DE VINHO DECORA&Ccedil;&Atilde;O EVENTO BUQU&Ecirc; DE FLORES DECORA&Ccedil;&Atilde;O COM FLORES ARRANJO DE FLORES PEL&Uacute;CIA FLORICULTURA NATURAL FLORICULTURA DELIVERY DELIVERY ENTREGA EM DOMICILIO DISK ENTREGA CESTA DE CAFE DA MANHA EM DOMICILIO ENTREGA DE CESTA DE CAFE DA MANHA Avenida Rio Grande do Sul Cidade da Esperan&ccedil;a zona oeste Natal RN</p>
","(84)3205-5509,(84)3205-0509","Delivery, Entrega em domicÃ­lio"
206027,9020,Neuza Franco de Oliveira,Natal,Potengi,RN,"<p>TRABALHA COM SERVI&Ccedil;O DE: LAVANDERIA, TINTURARIA E LAVAGEM A SECO, ENTREGA E COLETA EM DOMIC&Iacute;LIO SEM CUSTO ADICIONAL COM ATENDIMENTO PERSONALIZADO.</p>

<p>Requinte Lavanderia lavagem em geral servi&ccedil;o de coleta e entrega gr&aacute;tis lavagem de roupas em geral &nbsp;lavanderia requinte lavanderia na Avenida Maranguape Potengi Zona Norte Natal RN</p>
","(84)36622002,(84)6622002,(84)6622002","Entrega em domicÃ­lio, Delivery"
207459,10362,ROBERTO BERTOLEZA DA CUNHA,Natal,Cidade Nova,RN,"<p>Mercadinho no qual disp&otilde;e de frutas, verduras, material de limpeza, tudo em g&ecirc;nero aliment&iacute;cio, a&ccedil;ougue, cereais e hortifrutigranjeiros.</p>
","(84)32054475,(84)084,(84)084","Bebida, Bebidas"
